date,regularballs,powerball
"December 16, 2015","9, 10, 32, 42, 55",6
"December 19, 2015","28, 30, 41, 59, 68",10
"December 23, 2015","16, 38, 55, 63, 67",25
"December 26, 2015","27, 40, 44, 59, 65",20
"December 30, 2015","12, 36, 38, 54, 61",22
"January 2, 2016","5, 6, 15, 29, 42",10
"January 6, 2016","2, 11, 47, 62, 63",17
"January 9, 2016","16, 19, 32, 34, 57",13
"January 13, 2016","4, 8, 19, 27, 34",10
"January 16, 2016","3, 51, 52, 61, 64",6
"January 20, 2016","5, 39, 44, 47, 69",24
"January 23, 2016","22, 32, 34, 40, 69",19
"January 27, 2016","3, 12, 40, 52, 67",21
"January 30, 2016","5, 12, 16, 31, 43",18
"February 3, 2016","26, 28, 31, 60, 67",23
"February 6, 2016","4, 13, 31, 36, 52",8
"February 10, 2016","2, 3, 40, 50, 62",5
"February 13, 2016","7, 15, 18, 19, 36",20
"February 17, 2016","7, 17, 27, 29, 40",25
"February 20, 2016","11, 12, 15, 16, 54",25
"February 24, 2016","21, 31, 64, 65, 67",5
"February 27, 2016","10, 11, 21, 22, 53",18
"March 2, 2016","12, 13, 44, 52, 62",6
"March 5, 2016","3, 27, 34, 59, 69",19
"March 9, 2016","14, 23, 32, 34, 68",3
"March 12, 2016","11, 28, 50, 57, 62",23
"March 16, 2016","10, 12, 13, 46, 50",21
"March 19, 2016","11, 23, 43, 54, 60",3
"March 23, 2016","5, 8, 15, 22, 49",25
"March 26, 2016","11, 23, 42, 52, 68",6
"March 30, 2016","24, 44, 53, 55, 63",19
"April 2, 2016","9, 28, 30, 40, 61",3
"April 6, 2016","4, 28, 49, 60, 65",25
"April 9, 2016","14, 22, 23, 41, 61",9
"April 13, 2016","30, 33, 35, 38, 64",22
"April 16, 2016","3, 18, 25, 32, 51",3
"April 20, 2016","12, 25, 30, 52, 62",8
"April 23, 2016","19, 35, 46, 59, 62",13
"April 27, 2016","2, 25, 33, 39, 64",17
"April 30, 2016","3, 12, 16, 32, 34",14
"May 4, 2016","30, 47, 57, 66, 69",3
"May 7, 2016","5, 25, 26, 44, 66",9
"May 11, 2016","20, 32, 52, 66, 69",23
"May 14, 2016","13, 27, 47, 64, 65",9
"May 18, 2016","23, 25, 39, 54, 67",11
"May 21, 2016","5, 7, 9, 23, 32",26
"May 25, 2016","11, 24, 41, 59, 64",15
"May 28, 2016","6, 33, 34, 58, 59",12
"June 1, 2016","23, 30, 33, 40, 69",12
"June 4, 2016","16, 20, 22, 43, 64",17
"June 8, 2016","12, 25, 37, 60, 69",20
"June 11, 2016","20, 27, 36, 41, 58",7
"June 15, 2016","4, 22, 24, 31, 33",10
"June 18, 2016","2, 23, 41, 53, 63",11
"June 22, 2016","14, 40, 42, 43, 52",17
"June 25, 2016","3, 27, 36, 56, 69",25
"June 29, 2016","23, 29, 37, 60, 64",6
"July 2, 2016","10, 34, 39, 59, 63",4
"July 6, 2016","2, 24, 31, 57, 66",18
"July 9, 2016","10, 28, 32, 61, 64",12
"July 13, 2016","3, 15, 29, 54, 57",10
"July 16, 2016","11, 17, 40, 50, 62",26
"July 20, 2016","6, 25, 35, 58, 66",5
"July 23, 2016","5, 7, 23, 35, 39",11
"July 27, 2016","10, 47, 50, 65, 68",24
"July 30, 2016","11, 17, 21, 23, 32",5
"August 3, 2016","9, 11, 27, 66, 67",2
"August 6, 2016","20, 33, 36, 47, 52",12
"August 10, 2016","23, 56, 61, 64, 67",12
"August 13, 2016","38, 44, 60, 64, 69",6
"August 17, 2016","33, 44, 49, 50, 52",8
"August 20, 2016","3, 6, 21, 60, 68",24
"August 24, 2016","9, 11, 25, 64, 65",16
"August 27, 2016","4, 32, 48, 49, 63",20
"August 31, 2016","5, 10, 24, 56, 61",12
"September 3, 2016","7, 39, 50, 59, 67",25
"September 7, 2016","22, 23, 29, 33, 55",21
"September 10, 2016","3, 17, 49, 55, 68",8
"September 14, 2016","10, 11, 23, 28, 31",14
"September 17, 2016","9, 19, 51, 55, 62",14
"September 21, 2016","1, 28, 63, 67, 69",17
"September 24, 2016","7, 15, 20, 29, 41",22
"September 28, 2016","30, 38, 52, 53, 62",1
"October 1, 2016","2, 12, 50, 61, 64",1
"October 5, 2016","8, 18, 27, 29, 60",15
"October 8, 2016","3, 54, 61, 64, 68",9
"October 12, 2016","16, 30, 34, 37, 44",16
"October 15, 2016","23, 49, 57, 64, 67",20
"October 19, 2016","10, 16, 38, 43, 63",23
"October 22, 2016","1, 28, 33, 55, 56",22
"October 26, 2016","2, 3, 16, 48, 56",24
"October 29, 2016","19, 20, 21, 42, 48",23
"November 2, 2016","13, 18, 37, 54, 61",5
"November 5, 2016","21, 31, 50, 51, 69",8
"November 9, 2016","1, 25, 28, 31, 54",2
"November 12, 2016","8, 17, 20, 27, 52",24
"November 16, 2016","28, 41, 61, 63, 65",7
"November 19, 2016","16, 24, 28, 43, 61",21
"November 23, 2016","7, 32, 41, 47, 61",3
"November 26, 2016","17, 19, 21, 37, 44",16
"November 30, 2016","3, 14, 18, 25, 45",7
"December 3, 2016","8, 10, 26, 27, 33",22
"December 7, 2016","41, 48, 49, 53, 64",20
"December 10, 2016","12, 21, 32, 44, 66",15
"December 14, 2016","18, 26, 37, 39, 66",15
"December 17, 2016","1, 8, 16, 40, 48",10
"December 21, 2016","25, 33, 40, 54, 68",3
"December 24, 2016","28, 38, 42, 51, 52",21
"December 28, 2016","16, 23, 30, 44, 58",4
"December 31, 2016","1, 3, 28, 57, 67",9
"January 4, 2017","16, 17, 29, 41, 42",4
"January 7, 2017","3, 12, 24, 37, 63",10
"January 11, 2017","1, 3, 13, 16, 43",24
"January 14, 2017","23, 55, 59, 64, 69",13
"January 18, 2017","9, 40, 41, 53, 58",12
"January 21, 2017","23, 25, 45, 52, 67",2
"January 25, 2017","18, 28, 62, 66, 68",22
"January 28, 2017","12, 20, 39, 49, 69",17
"February 1, 2017","9, 43, 57, 60, 64",10
"February 4, 2017","6, 13, 16, 17, 52",25
"February 8, 2017","14, 20, 42, 49, 66",5
"February 11, 2017","5, 9, 17, 37, 64",2
"February 15, 2017","5, 28, 33, 38, 42",19
"February 18, 2017","3, 7, 9, 31, 33",20
"February 22, 2017","10, 13, 28, 52, 61",2
"February 25, 2017","6, 32, 47, 62, 65",19
"March 1, 2017","10, 16, 40, 52, 55",17
"March 4, 2017","2, 18, 19, 22, 63",19
"March 8, 2017","23, 33, 42, 46, 59",4
"March 11, 2017","1, 26, 41, 50, 57",11
"March 15, 2017","16, 30, 41, 48, 53",16
"March 18, 2017","13, 25, 44, 54, 67",5
"March 22, 2017","2, 9, 27, 29, 42",9
"March 25, 2017","18, 31, 32, 45, 48",16
"March 29, 2017","8, 15, 31, 36, 62",11
"April 1, 2017","9, 32, 36, 44, 65",1
"April 5, 2017","8, 20, 46, 53, 54",13
"April 8, 2017","23, 36, 51, 53, 60",15
"April 12, 2017","8, 14, 61, 63, 68",24
"April 15, 2017","5, 22, 26, 45, 61",13
"April 19, 2017","1, 19, 37, 40, 52",15
"April 22, 2017","21, 39, 41, 48, 63",6
"April 26, 2017","1, 15, 18, 26, 51",26
"April 29, 2017","22, 23, 24, 45, 62",5
"May 3, 2017","17, 18, 49, 59, 66",9
"May 6, 2017","11, 21, 31, 41, 59",21
"May 10, 2017","29, 31, 46, 56, 62",8
"May 13, 2017","17, 20, 32, 63, 68",19
"May 17, 2017","4, 11, 39, 45, 48",9
"May 20, 2017","5, 22, 45, 47, 54",3
"May 24, 2017","28, 32, 33, 38, 62",15
"May 27, 2017","5, 10, 28, 55, 67",9
"May 31, 2017","4, 33, 39, 46, 60",6
"June 3, 2017","3, 9, 21, 41, 54",25
"June 7, 2017","5, 21, 57, 66, 69",13
"June 10, 2017","20, 26, 32, 38, 58",3
"June 14, 2017","5, 22, 43, 57, 63",24
"June 17, 2017","10, 13, 32, 53, 62",21
"June 21, 2017","14, 46, 61, 65, 68",13
"June 24, 2017","10, 22, 32, 36, 58",10
"June 28, 2017","29, 37, 46, 53, 68",8
"July 1, 2017","19, 42, 45, 48, 53",16
"July 5, 2017","4, 9, 16, 54, 68",21
"July 8, 2017","8, 10, 29, 40, 59",26
"July 12, 2017","1, 2, 18, 23, 61",9
"July 15, 2017","9, 40, 63, 64, 66",17
"July 19, 2017","50, 51, 59, 61, 63",4
"July 22, 2017","5, 32, 44, 53, 60",9
"July 26, 2017","7, 19, 21, 42, 69",12
"July 29, 2017","1, 28, 40, 45, 48",12
"August 2, 2017","1, 16, 54, 63, 69",18
"August 5, 2017","11, 21, 28, 33, 45",11
"August 9, 2017","12, 30, 36, 47, 62",9
"August 12, 2017","20, 24, 26, 35, 49",19
"August 16, 2017","9, 15, 43, 60, 64",4
"August 19, 2017","17, 19, 39, 43, 68",13
"August 23, 2017","6, 7, 16, 23, 26",4
"August 26, 2017","7, 15, 32, 38, 66",15
"August 30, 2017","19, 28, 43, 67, 69",7
"September 2, 2017","6, 21, 41, 52, 62",26
"September 6, 2017","8, 14, 32, 58, 67",17
"September 9, 2017","6, 20, 29, 57, 59",22
"September 13, 2017","17, 24, 35, 57, 63",19
"September 16, 2017","17, 18, 24, 25, 31",24
"September 20, 2017","39, 48, 53, 67, 68",26
"September 23, 2017","24, 45, 55, 56, 57",19
"September 27, 2017","8, 10, 21, 23, 25",22
"September 30, 2017","8, 12, 25, 41, 64",15
"October 4, 2017","22, 23, 62, 63, 66",24
"October 7, 2017","10, 49, 61, 63, 65",7
"October 11, 2017","1, 3, 13, 19, 69",23
"October 14, 2017","32, 37, 56, 66, 69",11
"October 18, 2017","30, 49, 54, 66, 69",8
"October 21, 2017","14, 41, 42, 45, 69",4
"October 25, 2017","18, 22, 29, 54, 57",8
"October 28, 2017","27, 35, 38, 57, 66",10
"November 1, 2017","3, 6, 19, 26, 44",1
"November 4, 2017","12, 14, 26, 48, 51",13
"November 8, 2017","12, 14, 20, 21, 34",22
"November 11, 2017","4, 6, 16, 30, 56",18
"November 15, 2017","23, 32, 44, 48, 50",25
"November 18, 2017","17, 28, 31, 32, 39",26
"November 22, 2017","35, 37, 46, 51, 61",13
"November 25, 2017","8, 13, 27, 53, 54",4
"November 29, 2017","24, 26, 28, 59, 63",16
"December 2, 2017","28, 30, 32, 36, 58",6
"December 6, 2017","19, 20, 50, 55, 62",9
"December 9, 2017","25, 36, 37, 55, 60",6
"December 13, 2017","2, 24, 28, 51, 58",7
"December 16, 2017","9, 35, 37, 50, 63",11
"December 20, 2017","1, 20, 61, 64, 69",20
"December 23, 2017","1, 3, 13, 15, 44",25
"December 27, 2017","3, 9, 16, 56, 60",3
"December 30, 2017","28, 36, 41, 51, 58",24
"January 3, 2018","2, 18, 37, 39, 42",12
"January 6, 2018","12, 29, 30, 33, 61",26
"January 10, 2018","7, 24, 33, 49, 50",4
"January 13, 2018","14, 25, 35, 58, 69",24
"January 17, 2018","3, 33, 37, 51, 57",21
"January 20, 2018","26, 28, 47, 49, 58",3
"January 24, 2018","5, 9, 11, 33, 64",21
"January 27, 2018","17, 21, 26, 47, 54",7
"January 31, 2018","4, 7, 14, 46, 59",22
"February 3, 2018","15, 23, 27, 48, 53",6
"February 7, 2018","23, 34, 35, 40, 47",10
"February 10, 2018","1, 13, 27, 41, 59",20
"February 14, 2018","37, 39, 44, 46, 69",26
"February 17, 2018","13, 26, 39, 44, 62",2
"February 21, 2018","7, 15, 31, 34, 36",8
"February 24, 2018","24, 25, 38, 62, 63",6
"February 28, 2018","12, 30, 59, 65, 69",16
