date,regularballs,powerball
"August 29, 2022","13, 36, 43, 61, 69",18
"August 29, 2022","25, 27, 51, 52, 58",1
"August 31, 2022","7, 8, 19, 24, 28",1
"August 31, 2022","7, 15, 21, 41, 56",16
"September 3, 2022","18, 27, 49, 65, 69",9
"September 3, 2022","4, 9, 15, 33, 46",21
"September 5, 2022","4, 7, 32, 55, 64",25
"September 5, 2022","10, 31, 48, 50, 68",7
"September 7, 2022","3, 16, 30, 33, 36",20
"September 7, 2022","4, 26, 28, 29, 42",10
"September 10, 2022","38, 42, 56, 68, 69",4
"September 10, 2022","25, 30, 34, 55, 56",26
"September 12, 2022","6, 14, 16, 34, 66",25
"September 12, 2022","1, 16, 19, 48, 60",11
"September 14, 2022","9, 10, 20, 22, 52",25
"September 14, 2022","15, 16, 17, 23, 29",5
"September 17, 2022","5, 25, 36, 51, 61",1
"September 17, 2022","9, 23, 37, 41, 55",1
"September 19, 2022","7, 15, 36, 46, 67",7
"September 19, 2022","7, 11, 23, 27, 38",4
"September 21, 2022","6, 33, 34, 45, 54",7
"September 21, 2022","18, 28, 39, 47, 49",16
"September 24, 2022","3, 9, 21, 24, 29",14
"September 24, 2022","15, 30, 38, 46, 66",25
"September 26, 2022","13, 20, 31, 33, 59",20
"September 26, 2022","7, 15, 39, 54, 59",11
"September 28, 2022","6, 10, 24, 33, 67",11
"September 28, 2022","14, 24, 34, 56, 60",8
"October 1, 2022","8, 21, 22, 65, 69",26
"October 1, 2022","1, 24, 43, 53, 63",18
"October 3, 2022","2, 16, 22, 55, 63",22
"October 3, 2022","4, 5, 50, 66, 67",15
"October 5, 2022","26, 30, 33, 37, 62",6
"October 5, 2022","17, 23, 24, 36, 61",16
"October 8, 2022","13, 43, 53, 60, 68",5
"October 8, 2022","3, 33, 46, 63, 68",17
"October 10, 2022","3, 6, 11, 17, 22",11
"October 10, 2022","4, 24, 35, 52, 62",10
"October 12, 2022","14, 30, 41, 42, 59",6
"October 12, 2022","4, 22, 36, 39, 64",14
"October 15, 2022","32, 37, 40, 58, 62",15
"October 15, 2022","6, 19, 32, 48, 50",1
"October 17, 2022","19, 30, 36, 46, 60",25
"October 17, 2022","29, 35, 36, 40, 52",18
"October 19, 2022","6, 8, 15, 27, 42",10
"October 19, 2022","4, 24, 32, 55, 59",13
"October 22, 2022","19, 25, 48, 55, 60",18
"October 22, 2022","9, 21, 30, 49, 51",3
"October 24, 2022","18, 23, 35, 45, 54",16
"October 24, 2022","12, 48, 51, 63, 67",26
"October 26, 2022","19, 36, 37, 46, 56",24
"October 26, 2022","5, 36, 38, 39, 54",19
"October 29, 2022","19, 31, 40, 46, 57",23
"October 29, 2022","9, 13, 31, 35, 37",1
"October 31, 2022","13, 19, 36, 39, 59",13
"October 31, 2022","9, 14, 52, 57, 62",24
"November 2, 2022","2, 11, 22, 35, 60",23
"November 2, 2022","20, 34, 37, 57, 67",26
"November 5, 2022","28, 45, 53, 56, 69",20
"November 5, 2022","4, 23, 27, 31, 56",15
"November 7, 2022","10, 33, 41, 47, 56",10
"November 7, 2022","1, 21, 27, 29, 40",18
"November 9, 2022","7, 14, 24, 30, 56",7
"November 9, 2022","4, 15, 31, 52, 62",16
"November 12, 2022","16, 20, 44, 57, 58",6
"November 12, 2022","8, 18, 29, 44, 68",3
"November 14, 2022","19, 35, 53, 54, 67",21
"November 14, 2022","1, 24, 32, 63, 69",13
"November 16, 2022","28, 34, 51, 53, 56",11
"November 16, 2022","5, 26, 41, 59, 66",11
"November 19, 2022","7, 28, 62, 63, 64",10
"November 19, 2022","19, 35, 40, 62, 68",23
"November 21, 2022","1, 6, 40, 51, 67",2
"November 21, 2022","8, 23, 41, 49, 63",15
"November 23, 2022","1, 2, 31, 39, 66",25
"November 23, 2022","17, 20, 54, 60, 69",22
"November 26, 2022","15, 30, 47, 50, 51",3
"November 26, 2022","1, 35, 39, 41, 54",17
"November 28, 2022","29, 30, 32, 48, 50",20
"November 28, 2022","1, 5, 19, 47, 55",3
"November 30, 2022","4, 19, 24, 47, 66",10
"November 30, 2022","16, 34, 41, 47, 55",23
"December 3, 2022","6, 13, 33, 36, 37",7
"December 3, 2022","4, 10, 23, 43, 64",3
"December 5, 2022","35, 45, 47, 54, 55",14
"December 5, 2022","15, 50, 51, 53, 68",21
"December 7, 2022","6, 28, 44, 59, 61",21
"December 7, 2022","16, 25, 26, 37, 48",16
"December 10, 2022","9, 23, 47, 49, 68",19
"December 10, 2022","1, 34, 37, 40, 53",2
"December 12, 2022","16, 31, 50, 55, 61",9
"December 12, 2022","28, 39, 43, 63, 67",26
"December 14, 2022","36, 51, 59, 66, 68",25
"December 14, 2022","3, 12, 24, 40, 57",19
"December 17, 2022","33, 56, 64, 66, 68",12
"December 17, 2022","6, 9, 10, 19, 28",23
"December 19, 2022","7, 37, 55, 65, 67",12
"December 19, 2022","18, 32, 40, 65, 67",6
"December 21, 2022","12, 15, 24, 34, 59",14
"December 21, 2022","10, 16, 25, 39, 52",23
"December 24, 2022","17, 37, 46, 54, 67",8
"December 24, 2022","5, 32, 34, 38, 48",12
"December 26, 2022","17, 41, 47, 60, 61",17
"December 26, 2022","1, 30, 52, 54, 63",26
"December 28, 2022","26, 32, 38, 45, 56",1
"December 28, 2022","4, 10, 14, 41, 56",16
"December 31, 2022","18, 37, 44, 50, 64",11
"December 31, 2022","1, 25, 29, 54, 56",9
"January 2, 2023","7, 9, 12, 31, 62",22
"January 2, 2023","11, 12, 15, 33, 39",24
"January 4, 2023","12, 32, 56, 67, 68",26
"January 4, 2023","22, 25, 32, 41, 46",23
"January 7, 2023","35, 36, 44, 45, 67",14
"January 7, 2023","10, 17, 23, 29, 49",20
"January 9, 2023","18, 43, 48, 60, 69",14
"January 9, 2023","19, 41, 47, 53, 54",25
"January 11, 2023","4, 8, 46, 47, 48",5
"January 11, 2023","1, 3, 11, 44, 62",6
"January 14, 2023","24, 26, 39, 47, 57",23
"January 14, 2023","17, 19, 31, 33, 64",13
"January 16, 2023","4, 14, 33, 39, 61",3
"January 16, 2023","37, 40, 46, 54, 59",15
"January 18, 2023","6, 15, 22, 42, 47",26
"January 18, 2023","4, 11, 14, 54, 69",16
"January 21, 2023","5, 14, 19, 46, 64",22
"January 21, 2023","1, 8, 32, 37, 64",16
"January 23, 2023","12, 31, 47, 58, 60",23
"January 23, 2023","6, 15, 31, 45, 58",5
"January 25, 2023","9, 17, 20, 38, 40",18
"January 25, 2023","15, 32, 35, 42, 47",23
"January 28, 2023","2, 18, 23, 27, 47",15
"January 28, 2023","47, 51, 53, 62, 63",16
"January 30, 2023","1, 4, 12, 36, 49",5
"January 30, 2023","3, 25, 28, 42, 61",17
"February 1, 2023","31, 43, 58, 59, 66",9
"February 1, 2023","4, 23, 39, 57, 63",26
"February 4, 2023","2, 8, 15, 19, 58",10
"February 4, 2023","6, 38, 57, 58, 63",8
"February 6, 2023","5, 11, 22, 23, 69",7
"February 6, 2023","14, 19, 58, 59, 68",16
"February 8, 2023","52, 58, 59, 64, 66",9
"February 8, 2023","40, 41, 57, 64, 65",21
"February 11, 2023","10, 23, 30, 54, 65",11
"February 11, 2023","45, 48, 54, 60, 63",2
"February 13, 2023","17, 26, 37, 61, 65",2
"February 13, 2023","12, 17, 26, 61, 69",22
"February 15, 2023","31, 32, 54, 60, 63",12
"February 15, 2023","25, 30, 44, 52, 66",22
"February 18, 2023","8, 21, 31, 32, 37",23
"February 18, 2023","4, 36, 39, 44, 46",20
"February 20, 2023","3, 17, 26, 38, 54",15
"February 20, 2023","2, 13, 26, 51, 55",23
"February 22, 2023","11, 19, 39, 44, 65",7
"February 22, 2023","2, 38, 53, 62, 63",2
"February 25, 2023","11, 24, 58, 66, 67",26
"February 25, 2023","4, 6, 39, 60, 66",2
"February 27, 2023","16, 28, 49, 51, 55",23
"February 27, 2023","8, 27, 33, 34, 44",5
"March 1, 2023","2, 9, 28, 36, 53",4
"March 1, 2023","7, 12, 16, 17, 39",22
"March 4, 2023","10, 16, 18, 40, 66",16
"March 4, 2023","17, 18, 24, 36, 56",25
"March 6, 2023","2, 13, 29, 58, 69",4
"March 6, 2023","10, 19, 26, 47, 55",21
"March 8, 2023","26, 27, 43, 61, 69",4
"March 8, 2023","13, 20, 29, 41, 45",19
"March 11, 2023","11, 20, 33, 43, 58",24
"March 11, 2023","7, 16, 22, 36, 58",5
"March 13, 2023","3, 10, 24, 46, 63",4
"March 13, 2023","5, 25, 32, 38, 62",6
"March 15, 2023","16, 18, 33, 37, 50",8
"March 15, 2023","7, 9, 46, 64, 68",3
"March 18, 2023","14, 20, 30, 54, 69",11
"March 18, 2023","21, 30, 34, 57, 59",8
"March 20, 2023","1, 27, 32, 47, 67",14
"March 20, 2023","2, 18, 31, 59, 60",19
"March 22, 2023","27, 28, 37, 50, 57",5
"March 22, 2023","3, 32, 58, 59, 61",15
"March 25, 2023","15, 17, 18, 47, 57",19
"March 25, 2023","18, 30, 35, 42, 52",1
"March 27, 2023","19, 26, 36, 43, 58",14
"March 27, 2023","7, 11, 46, 49, 60",1
"March 29, 2023","4, 9, 24, 46, 66",7
"March 29, 2023","1, 20, 39, 47, 49",23
"April 1, 2023","11, 19, 21, 29, 52",17
"April 1, 2023","3, 14, 34, 56, 57",2
"April 3, 2023","16, 30, 31, 54, 68",1
"April 3, 2023","5, 10, 16, 30, 40",20
"April 5, 2023","3, 5, 9, 42, 52",11
"April 5, 2023","12, 30, 46, 52, 59",1
"April 8, 2023","11, 22, 24, 51, 60",18
"April 8, 2023","15, 26, 44, 49, 51",22
"April 10, 2023","9, 10, 36, 46, 52",14
"April 10, 2023","6, 14, 20, 24, 63",2
"April 12, 2023","9, 36, 41, 44, 59",4
"April 12, 2023","16, 19, 32, 33, 41",19
"April 15, 2023","1, 33, 34, 56, 59",18
"April 15, 2023","4, 6, 15, 19, 28",15
"April 17, 2023","23, 25, 35, 63, 64",25
"April 17, 2023","5, 34, 35, 58, 67",21
"April 19, 2023","4, 11, 21, 38, 64",11
"April 19, 2023","9, 17, 22, 24, 31",5
"April 22, 2023","17, 36, 47, 63, 68",25
"April 22, 2023","9, 10, 50, 62, 63",14
"April 24, 2023","19, 21, 55, 66, 68",3
"April 24, 2023","9, 18, 24, 30, 58",15
"April 26, 2023","2, 15, 30, 35, 49",6
"April 26, 2023","18, 26, 31, 49, 51",18
"April 29, 2023","16, 53, 54, 57, 65",8
"April 29, 2023","3, 13, 36, 50, 61",16
"May 1, 2023","3, 38, 55, 61, 66",1
"May 1, 2023","14, 20, 29, 33, 57",2
"May 3, 2023","21, 26, 30, 45, 47",23
"May 3, 2023","11, 35, 57, 60, 64",22
"May 6, 2023","31, 39, 47, 51, 53",6
"May 6, 2023","1, 9, 20, 21, 55",11
"May 8, 2023","15, 20, 33, 36, 43",12
"May 8, 2023","4, 31, 50, 53, 63",24
"May 10, 2023","21, 24, 33, 55, 69",3
"May 10, 2023","21, 22, 24, 52, 58",3
"May 13, 2023","3, 15, 20, 23, 46",11
"May 13, 2023","23, 32, 52, 58, 60",3
"May 15, 2023","1, 26, 28, 55, 58",25
"May 15, 2023","13, 36, 55, 56, 68",23
"May 17, 2023","18, 34, 37, 45, 51",14
"May 17, 2023","21, 26, 37, 52, 53",26
"May 20, 2023","17, 23, 32, 38, 63",23
"May 20, 2023","19, 32, 54, 55, 68",24
"May 22, 2023","9, 38, 48, 52, 68",25
"May 22, 2023","14, 17, 38, 39, 40",14
"May 24, 2023","12, 21, 44, 50, 58",26
"May 24, 2023","7, 25, 29, 40, 45",12
"May 27, 2023","24, 38, 39, 48, 56",4
"May 27, 2023","21, 28, 31, 48, 49",18
"May 29, 2023","21, 33, 35, 62, 64",24
"May 29, 2023","5, 12, 17, 46, 65",16
"May 31, 2023","2, 4, 54, 61, 62",14
"May 31, 2023","15, 36, 61, 66, 68",23
"June 3, 2023","15, 45, 64, 67, 68",18
"June 3, 2023","8, 26, 34, 58, 69",7
"June 5, 2023","2, 31, 45, 46, 49",20
"June 5, 2023","3, 11, 14, 37, 44",2
"June 7, 2023","16, 21, 29, 53, 66",2
"June 7, 2023","29, 44, 55, 62, 66",7
"June 10, 2023","21, 32, 42, 46, 50",4
"June 10, 2023","30, 45, 55, 67, 69",23
"June 12, 2023","2, 3, 16, 23, 68",7
"June 12, 2023","9, 15, 22, 54, 64",19
"June 14, 2023","3, 20, 36, 42, 64",4
"June 14, 2023","6, 10, 14, 16, 50",1
"June 17, 2023","2, 12, 45, 61, 64",26
"June 17, 2023","8, 12, 21, 33, 51",14
"June 19, 2023","36, 39, 52, 57, 69",1
"June 19, 2023","14, 15, 39, 57, 69",7
"June 21, 2023","5, 11, 33, 35, 63",14
"June 21, 2023","15, 18, 23, 45, 48",10
"June 24, 2023","2, 38, 44, 50, 62",19
"June 24, 2023","12, 17, 50, 53, 64",20
"June 26, 2023","6, 28, 39, 43, 54",12
"June 26, 2023","14, 20, 23, 31, 54",19
"June 28, 2023","19, 25, 34, 57, 68",4
"June 28, 2023","27, 33, 48, 64, 69",23
"July 1, 2023","4, 17, 35, 49, 61",8
"July 1, 2023","13, 24, 49, 54, 60",17
"July 3, 2023","15, 26, 31, 38, 61",3
"July 3, 2023","15, 37, 50, 55, 69",9
"July 5, 2023","17, 24, 48, 62, 68",23
"July 5, 2023","10, 19, 47, 50, 53",26
"July 8, 2023","7, 23, 24, 32, 43",18
"July 8, 2023","12, 23, 30, 42, 62",21
"July 10, 2023","2, 24, 34, 53, 58",13
"July 10, 2023","21, 30, 37, 41, 56",14
"July 12, 2023","23, 35, 45, 66, 67",20
"July 12, 2023","42, 49, 54, 62, 63",21
"July 15, 2023","2, 9, 43, 55, 57",18
"July 15, 2023","12, 21, 23, 37, 52",19
"July 17, 2023","5, 8, 9, 17, 41",21
"July 17, 2023","9, 37, 38, 62, 69",23
"July 19, 2023","7, 10, 11, 13, 24",24
"July 19, 2023","13, 15, 28, 43, 57",25
"July 22, 2023","25, 27, 36, 37, 63",7
"July 22, 2023","31, 37, 39, 54, 65",14
"July 24, 2023","3, 4, 12, 28, 49",25
"July 24, 2023","3, 6, 32, 58, 68",25
"July 26, 2023","3, 16, 40, 48, 60",14
"July 26, 2023","31, 43, 51, 60, 69",13
"July 29, 2023","10, 25, 27, 34, 38",2
"July 29, 2023","10, 23, 27, 62, 65",15
"July 31, 2023","2, 11, 48, 58, 65",13
"July 31, 2023","15, 32, 33, 34, 35",4
"August 2, 2023","23, 24, 33, 51, 64",5
"August 2, 2023","5, 23, 30, 62, 63",9
"August 5, 2023","18, 42, 44, 62, 65",23
"August 5, 2023","14, 25, 37, 57, 67",16
"August 7, 2023","6, 13, 20, 35, 54",22
"August 7, 2023","26, 29, 37, 49, 63",22
"August 9, 2023","10, 15, 21, 67, 69",3
"August 9, 2023","1, 42, 51, 61, 63",17
"August 12, 2023","19, 21, 37, 50, 65",26
"August 12, 2023","10, 26, 27, 48, 52",12
"August 14, 2023","32, 34, 37, 39, 47",3
"August 14, 2023","2, 23, 42, 61, 68",26
"August 16, 2023","9, 11, 17, 19, 55",1
"August 16, 2023","15, 22, 44, 49, 63",26
"August 19, 2023","1, 25, 27, 38, 62",13
"August 19, 2023","19, 26, 39, 65, 68",12
"August 21, 2023","3, 4, 12, 22, 28",16
"August 21, 2023","1, 13, 19, 49, 66",7
"August 23, 2023","25, 30, 32, 33, 55",20
"August 23, 2023","18, 25, 38, 56, 61",19
"August 26, 2023","20, 22, 26, 28, 63",5
"August 26, 2023","1, 19, 54, 63, 64",15
"August 28, 2023","4, 6, 25, 55, 68",26
"August 28, 2023","23, 24, 48, 61, 64",4
"August 30, 2023","4, 13, 35, 61, 69",4
"August 30, 2023","2, 10, 45, 46, 59",2
"September 2, 2023","25, 38, 42, 66, 67",19
"September 2, 2023","3, 7, 14, 26, 52",21
"September 4, 2023","1, 26, 32, 46, 51",13
"September 4, 2023","1, 29, 45, 47, 51",7
"September 6, 2023","9, 14, 20, 23, 63",1
"September 6, 2023","1, 12, 30, 50, 55",10
"September 9, 2023","11, 19, 29, 63, 68",25
"September 9, 2023","33, 38, 42, 64, 65",20
"September 11, 2023","9, 25, 27, 53, 66",5
"September 11, 2023","18, 22, 25, 30, 35",22
"September 13, 2023","22, 30, 37, 44, 45",18
"September 13, 2023","3, 12, 28, 58, 62",24
"September 16, 2023","8, 11, 19, 24, 46",5
"September 16, 2023","10, 27, 30, 43, 47",6
"September 18, 2023","2, 21, 26, 40, 42",9
"September 18, 2023","3, 7, 41, 48, 67",14
"September 20, 2023","16, 27, 59, 62, 63",23
"September 20, 2023","6, 20, 29, 46, 68",8
"September 23, 2023","1, 12, 20, 33, 66",21
"September 23, 2023","14, 16, 26, 41, 57",24
"September 25, 2023","10, 12, 22, 36, 50",4
"September 25, 2023","5, 16, 18, 38, 40",19
"September 27, 2023","1, 7, 46, 47, 63",7
"September 27, 2023","10, 25, 51, 52, 63",1
"September 30, 2023","19, 30, 37, 44, 46",22
"September 30, 2023","2, 22, 46, 56, 67",25
"October 2, 2023","12, 26, 27, 43, 47",5
"October 2, 2023","11, 26, 35, 40, 43",24
"October 4, 2023","9, 35, 54, 63, 64",1
"October 4, 2023","12, 30, 39, 64, 67",22
"October 7, 2023","47, 54, 57, 60, 65",19
"October 7, 2023","13, 31, 51, 55, 66",23
"October 9, 2023","16, 34, 46, 55, 67",14
"October 9, 2023","1, 20, 33, 49, 59",10
"October 11, 2023","22, 24, 40, 52, 64",10
"October 11, 2023","3, 40, 51, 59, 66",2
"October 14, 2023","14, 16, 42, 48, 64",14
"October 14, 2023","13, 21, 33, 46, 50",23
"October 16, 2023","2, 27, 31, 44, 64",18
"October 16, 2023","1, 2, 15, 17, 34",1
"October 18, 2023","1, 4, 13, 35, 58",24
"October 18, 2023","26, 59, 62, 64, 65",15
"October 21, 2023","6, 15, 24, 67, 68",11
"October 21, 2023","7, 18, 27, 33, 61",5
"October 23, 2023","18, 21, 25, 46, 64",21
"October 23, 2023","25, 44, 45, 50, 58",13
"October 25, 2023","25, 27, 41, 53, 68",2
"October 25, 2023","18, 19, 38, 54, 55",17
"October 28, 2023","14, 24, 50, 59, 64",2
"October 28, 2023","34, 48, 50, 52, 66",11
"October 30, 2023","19, 22, 34, 66, 69",5
"October 30, 2023","1, 4, 8, 11, 66",10
"November 1, 2023","22, 26, 39, 47, 63",12
"November 1, 2023","9, 26, 49, 58, 61",21
"November 4, 2023","1, 28, 30, 34, 52",6
"November 4, 2023","5, 15, 22, 47, 66",26
"November 6, 2023","12, 25, 40, 59, 61",26
"November 6, 2023","22, 23, 25, 41, 56",24
"November 8, 2023","14, 21, 33, 39, 62",20
"November 8, 2023","5, 20, 22, 27, 63",18
"November 11, 2023","1, 12, 14, 24, 57",7
"November 11, 2023","5, 17, 19, 41, 49",5
"November 13, 2023","24, 33, 35, 37, 42",21
"November 13, 2023","13, 14, 20, 67, 69",14
"November 15, 2023","3, 4, 51, 53, 60",6
"November 15, 2023","14, 15, 30, 58, 59",17
"November 18, 2023","34, 50, 51, 61, 67",20
"November 18, 2023","27, 32, 40, 45, 47",8
"November 20, 2023","19, 26, 30, 39, 63",13
"November 20, 2023","15, 21, 39, 45, 52",12
"November 22, 2023","20, 24, 33, 39, 42",21
"November 22, 2023","20, 21, 30, 55, 56",14
"November 25, 2023","27, 33, 63, 66, 68",9
"November 25, 2023","1, 27, 30, 49, 62",20
"November 27, 2023","2, 21, 38, 61, 66",12
"November 27, 2023","9, 29, 51, 53, 61",20
"November 29, 2023","6, 47, 50, 61, 68",4
"November 29, 2023","9, 13, 16, 30, 36",23
"December 2, 2023","28, 35, 41, 47, 60",3
"December 2, 2023","6, 32, 37, 42, 67",25
"December 4, 2023","18, 19, 27, 28, 45",9
"December 4, 2023","21, 51, 52, 59, 63",7
"December 6, 2023","2, 12, 37, 56, 65",21
"December 6, 2023","3, 23, 27, 67, 68",9
"December 9, 2023","5, 25, 26, 40, 60",1
"December 9, 2023","8, 14, 23, 29, 37",18
"December 11, 2023","1, 24, 27, 31, 62",20
"December 11, 2023","10, 12, 27, 40, 65",4
"December 13, 2023","3, 8, 41, 56, 64",18
"December 13, 2023","32, 53, 57, 60, 63",14
"December 16, 2023","3, 9, 10, 20, 62",25
"December 16, 2023","9, 39, 41, 46, 65",3
"December 18, 2023","5, 8, 19, 34, 39",26
"December 18, 2023","2, 8, 11, 25, 51",9
"December 20, 2023","27, 35, 41, 56, 60",16
"December 20, 2023","22, 25, 28, 30, 53",3
"December 23, 2023","9, 14, 17, 18, 53",6
"December 23, 2023","20, 37, 39, 40, 43",1
"December 25, 2023","5, 12, 20, 24, 29",4
"December 25, 2023","2, 3, 19, 31, 42",9
"December 27, 2023","4, 11, 38, 51, 68",5
"December 27, 2023","14, 29, 39, 66, 67",2
"December 30, 2023","10, 11, 26, 27, 34",7
"December 30, 2023","1, 4, 5, 6, 42",8
"January 1, 2024","12, 21, 42, 44, 49",1
"January 1, 2024","19, 31, 40, 42, 64",2
"January 3, 2024","30, 31, 38, 48, 68",8
"January 3, 2024","8, 9, 17, 31, 56",23
"January 6, 2024","4, 31, 34, 38, 61",13
"January 6, 2024","9, 14, 26, 27, 32",22
"January 8, 2024","7, 17, 28, 40, 45",2
"January 8, 2024","3, 38, 55, 57, 62",17
"January 10, 2024","25, 40, 43, 48, 50",11
"January 10, 2024","2, 7, 27, 34, 51",19
"January 13, 2024","13, 31, 33, 51, 58",15
"January 13, 2024","30, 41, 44, 55, 58",17
"January 15, 2024","13, 30, 35, 49, 59",4
"January 15, 2024","6, 16, 23, 60, 62",17
"January 17, 2024","18, 22, 43, 61, 65",2
"January 17, 2024","14, 38, 51, 53, 55",25
"January 20, 2024","16, 31, 34, 47, 65",10
"January 20, 2024","13, 26, 30, 40, 50",13
"January 22, 2024","24, 25, 43, 52, 63",21
"January 22, 2024","17, 31, 34, 54, 63",13
"January 24, 2024","1, 5, 32, 50, 64",8
"January 24, 2024","7, 28, 46, 47, 58",18
"January 27, 2024","7, 38, 65, 66, 68",21
"January 27, 2024","4, 28, 34, 50, 61",16
"January 29, 2024","39, 41, 43, 49, 64",4
"January 29, 2024","31, 44, 45, 63, 64",16
"January 31, 2024","15, 18, 19, 41, 43",14
"January 31, 2024","13, 15, 18, 21, 58",25
"February 3, 2024","9, 11, 27, 59, 66",19
"February 3, 2024","23, 26, 30, 35, 39",13
"February 5, 2024","1, 2, 27, 30, 67",9
"February 5, 2024","1, 7, 35, 52, 54",20
"February 7, 2024","12, 21, 62, 67, 69",17
"February 7, 2024","8, 17, 36, 56, 62",23
"February 10, 2024","27, 28, 34, 37, 44",8
"February 10, 2024","12, 15, 32, 50, 64",15
"February 12, 2024","17, 36, 43, 53, 67",14
"February 12, 2024","29, 49, 51, 61, 66",2
"February 14, 2024","1, 4, 45, 47, 67",18
"February 14, 2024","33, 40, 45, 48, 53",17
"February 17, 2024","6, 28, 59, 62, 69",21
"February 17, 2024","14, 47, 49, 61, 66",18
"February 19, 2024","4, 23, 45, 50, 53",17
"February 19, 2024","9, 18, 30, 47, 63",14
"February 21, 2024","4, 27, 33, 41, 42",14
"February 21, 2024","23, 49, 51, 54, 58",11
"February 24, 2024","3, 8, 40, 53, 58",3
"February 24, 2024","5, 6, 16, 34, 35",17
"February 26, 2024","24, 29, 42, 51, 54",16
"February 26, 2024","1, 3, 8, 30, 41",8
"February 28, 2024","16, 26, 29, 38, 50",6
"February 28, 2024","14, 38, 41, 47, 67",7
"March 2, 2024","3, 18, 27, 36, 53",12
"March 2, 2024","18, 31, 36, 43, 61",10
"March 4, 2024","36, 42, 50, 52, 67",26
"March 4, 2024","3, 19, 29, 53, 59",4
"March 6, 2024","6, 19, 28, 44, 60",10
"March 6, 2024","30, 31, 36, 52, 58",16
"March 9, 2024","30, 36, 49, 52, 63",16
"March 9, 2024","41, 43, 49, 55, 67",20
"March 11, 2024","1, 3, 7, 16, 66",5
"March 11, 2024","15, 25, 35, 41, 62",12
"March 13, 2024","21, 29, 54, 59, 62",4
"March 13, 2024","2, 25, 64, 65, 67",5
"March 16, 2024","12, 23, 44, 57, 61",5
"March 16, 2024","9, 11, 13, 29, 69",12
"March 18, 2024","10, 17, 20, 39, 44",16
"March 18, 2024","11, 44, 55, 63, 68",17
"March 20, 2024","13, 22, 27, 54, 66",9
"March 20, 2024","7, 9, 10, 26, 43",24
"March 23, 2024","6, 23, 25, 34, 51",3
"March 23, 2024","18, 24, 43, 46, 47",11
"March 25, 2024","7, 11, 19, 53, 68",23
"March 25, 2024","2, 14, 20, 28, 64",4
"March 27, 2024","37, 46, 57, 60, 66",8
"March 27, 2024","31, 47, 52, 53, 57",23
"March 30, 2024","12, 13, 33, 50, 52",23
"March 30, 2024","20, 29, 43, 57, 63",16
"April 1, 2024","19, 24, 40, 42, 56",23
"April 1, 2024","12, 15, 28, 30, 39",12
"April 3, 2024","11, 38, 41, 62, 65",15
"April 3, 2024","10, 44, 53, 60, 63",13
"April 6, 2024","22, 27, 44, 52, 69",9
"April 6, 2024","16, 19, 56, 59, 66",14
"April 8, 2024","6, 21, 23, 39, 54",23
"April 8, 2024","7, 40, 45, 58, 61",14
"April 10, 2024","6, 7, 12, 24, 36",15
"April 10, 2024","8, 21, 24, 57, 64",2
"April 13, 2024","7, 33, 40, 43, 69",10
"April 13, 2024","39, 55, 60, 65, 69",26
"April 15, 2024","7, 16, 41, 56, 61",23
"April 15, 2024","3, 25, 52, 60, 64",17
"April 17, 2024","24, 29, 44, 47, 54",2
"April 17, 2024","7, 8, 25, 39, 68",7
"April 20, 2024","4, 35, 41, 44, 58",25
"April 20, 2024","25, 28, 36, 38, 68",23
"April 22, 2024","12, 16, 33, 39, 52",1
"April 22, 2024","11, 15, 25, 32, 39",23
"April 24, 2024","2, 20, 22, 26, 47",21
"April 24, 2024","23, 25, 45, 46, 62",25
"April 27, 2024","9, 30, 53, 55, 62",23
"April 27, 2024","12, 28, 36, 47, 65",22
"April 29, 2024","11, 38, 47, 67, 69",14
"April 29, 2024","11, 44, 50, 54, 59",13
"May 1, 2024","1, 11, 19, 21, 68",15
"May 1, 2024","6, 15, 19, 42, 45",16
"May 4, 2024","14, 20, 23, 53, 69",4
"May 4, 2024","1, 8, 27, 63, 66",26
"May 6, 2024","7, 23, 24, 56, 60",25
"May 6, 2024","10, 56, 58, 59, 67",20
"May 8, 2024","7, 41, 43, 44, 51",5
"May 8, 2024","10, 22, 43, 55, 57",2
"May 11, 2024","3, 6, 39, 49, 67",21
"May 11, 2024","21, 24, 32, 39, 55",16
"May 13, 2024","5, 14, 29, 38, 66",1
"May 13, 2024","6, 14, 21, 58, 69",16
"May 15, 2024","19, 42, 45, 55, 69",6
"May 15, 2024","8, 9, 29, 57, 65",10
"May 18, 2024","19, 36, 37, 42, 59",19
"May 18, 2024","15, 17, 28, 36, 60",9
"May 20, 2024","1, 7, 48, 64, 68",5
"May 20, 2024","5, 38, 39, 41, 69",25
"May 22, 2024","5, 16, 18, 26, 67",4
"May 22, 2024","10, 12, 19, 21, 67",25
"May 25, 2024","6, 33, 35, 36, 64",24
"May 25, 2024","23, 25, 39, 40, 47",10
"May 27, 2024","9, 30, 39, 49, 59",21
"May 27, 2024","20, 31, 39, 45, 56",19
"May 29, 2024","17, 34, 56, 60, 61",9
"May 29, 2024","23, 29, 35, 36, 39",22
"June 1, 2024","28, 38, 52, 54, 68",8
"June 1, 2024","24, 40, 53, 56, 59",5
"June 3, 2024","19, 29, 35, 36, 45",16
"June 3, 2024","25, 39, 46, 47, 51",10
"June 5, 2024","8, 44, 45, 51, 69",12
"June 5, 2024","4, 11, 20, 45, 49",21
"June 8, 2024","8, 38, 52, 54, 64",15
"June 8, 2024","11, 21, 57, 58, 68",5
"June 10, 2024","3, 10, 33, 58, 59",9
